LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F66,female,5/2/07,2007,Dry,1724,500884,3592322,NA,NA
F66,female,5/3/07,2007,Dry,710,500884,3592322,0,NA
F66,female,5/6/07,2007,Dry,1644,500908,3592594,273,NA
F66,female,5/13/07,2007,Dry,1320,500970,3592386,217,NA
F66,female,5/17/07,2007,Dry,2232,500864,3592281,149,NA
F66,female,5/23/07,2007,Dry,2112,500969,3592387,149,NA
F66,female,6/1/07,2007,Dry,2118,500971,3592388,2,NA
F66,female,6/5/07,2007,Dry,2222,500971,3592388,0,NA
F66,female,6/10/07,2007,Dry,1830,500971,3592388,0,NA
F66,female,6/12/07,2007,Dry,2004,500971,3592388,0,NA
F66,female,6/20/07,2007,Dry,1910,500971,3592388,0,NA
F66,female,6/27/07,2007,Dry,2016,501003,3592171,219,NA
F66,female,7/3/07,2007,Dry,2129,501034,3592183,33,NA
F66,female,7/5/07,2007,Dry,1945,501034,3592183,0,NA
F66,female,7/18/07,2007,Monsoon,105,501034,3592183,0,NA
F66,female,7/19/07,2007,Monsoon,2115,501034,3592183,0,NA
F66,female,8/16/07,2007,Monsoon,1852,500850,3592094,204,NA
F66,female,8/19/07,2007,Monsoon,2015,501019,3592172,186,NA
F66,female,8/22/07,2007,Monsoon,2109,500883,3591881,321,NA
F66,female,8/27/07,2007,Monsoon,2225,500869,3592011,131,NA
F66,female,8/28/07,2007,Monsoon,2208,500869,3592011,0,NA
F66,female,8/30/07,2007,Monsoon,2018,500747,3592178,207,NA
F66,female,4/9/08,2008,Dry,12:39:00,501088,3592253,349,NA
F66,female,4/16/08,2008,Dry,11:44:00,501079,3592173,81,NA
F66,female,4/22/08,2008,Dry,8:17:00,501088,3592253,81,NA
F66,female,4/23/08,2008,Dry,9:32:00,501088,3592253,0,NA
F66,female,4/24/08,2008,Dry,10:07:00,501088,3592253,0,NA
F66,female,4/25/08,2008,Dry,10:15:00,501091,3592147,106,NA
F66,female,5/1/08,2008,Dry,13:30:00,500901,3592079,202,NA
F66,female,5/2/08,2008,Dry,13:30:00,500910,3591999,81,NA
F66,female,5/5/08,2008,Dry,11:15:00,501020,3592172,205,NA
