"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F146",2009,00:00:00,500920,3592553
"F146",2009,00:00:00,501076,3592494
"F146",2009,00:00:00,500845,3592448
"F146",2009,00:00:00,501089,3592503
"F146",2009,00:00:00,500845,3592666
"F146",2009,00:00:00,500924,3592623
"F146",2009,00:00:00,501049,3592519
"F146",2009,00:00:00,500867,3592623
"F146",2009,00:00:00,500846,3592613
"F146",2009,00:00:00,501049,3592623
"F146",2009,00:00:00,500796,3592667
"F146",2009,00:00:00,501100,3592543
"F146",2009,00:00:00,500841,3592647
"F146",2009,00:00:00,501105,3592544
"F146",2009,00:00:00,500735,3592639
"F146",2009,00:00:00,500978,3592373
"F146",2009,00:00:00,501045,3592341
"F146",2009,07:49:00,500788,3592659
"F146",2009,21:05:00,500811,3592690
"F146",2009,00:35:00,500775,3592635
"F146",2009,00:00:00,500978,3592365
"F146",2009,21:12:00,500764,3592823
"F146",2009,00:00:00,500722,3592743
"F146",2009,00:00:00,501032,3592542
"F146",2009,22:58:00,501048,3592545
"F146",2009,22:16:00,501033,3592552
"F146",2009,23:29:00,501033,3592552
"F146",2009,10:01:00,501033,3592552
"F146",2009,00:00:00,501032,3592545
"F146",2009,00:00:00,501032,3592545
"F146",2009,20:13:00,501033,3592552
"F146",2009,20:19:00,501033,3592552
"F146",2009,10:15:00,501054,3592555
"F146",2009,09:14:00,501046,3592554
"F146",2009,17:54:00,501091,3592592
"F146",2009,15:52:00,501089,3592591
"F146",2009,18:02:00,501089,3592591
"F146",2009,13:23:00,501089,3592591
"F146",2009,12:04:00,501089,3592591
"F146",2009,15:55:00,501024,3592543
"F146",2009,00:00:00,501031,3592540
"F146",2009,14:53:00,501087,3592503
"F146",2009,14:36:00,501087,3592503
"F146",2009,17:48:00,501087,3592503
"F146",2009,16:09:00,501024,3592348
"F146",2009,16:14:00,500745,3592822
"F146",2009,16:23:00,500735,3592788
"F146",2009,15:25:00,500854,3592654
"F146",2009,09:01:00,500970,3592578
"F146",2009,22:50:00,500833,3592709
"F146",2009,21:14:00,500873,3592675
"F146",2009,08:17:00,500877,3592649
