"LIZARDNUMBER","DATE","YEAR","SEASON","TIME","EASTING","NORTHING","Distance.Moved..m.","X"
"M69","3/25/10",2010,"Emergence","17:22:00",501207,3592418,251,NA
"M69","4/5/10",2010,"Emergence","15:41:00",501141,3592501,106,NA
"M69","5/6/10",2010,"Dry","12:50:00",501334,3592152,399,NA
"M69","5/14/10",2010,"Dry","11:20:00",501319,3592321,170,NA
"M69","6/2/10",2010,"Dry","12:12:00",501336,3592206,116,NA
"M69","6/12/10",2010,"Dry","17:47:00",501102,3592259,240,NA
"M69","6/17/10",2010,"Dry","8:15:35",501037,3592339,103,NA
"M69","6/22/10",2010,"Dry","8:04:00",501040,3592340,3,NA
"M69","6/23/10",2010,"Dry","8:45:00",501039,3592342,2,NA
"M69","6/26/10",2010,"Dry","20:15:00",501146,3592361,109,NA
"M69","6/27/10",2010,"Dry","21:03:00",501126,3592384,30,NA
"M69","6/27/10",2010,"Dry","0:01:00",501131,3592384,5,NA
"M69","7/2/10",2010,"Dry","21:08:00",501207,3592295,117,NA
"M69","7/3/10",2010,"Dry","20:29:00",501311,3592181,154,NA
"M69","7/4/10",2010,"Dry","19:13:00",501310,3592176,5,NA
"M69","7/6/10",2010,"Dry","23:23:00",501232,3592188,79,NA
"M69","7/8/10",2010,"Dry","10:30:00",501313,3592179,81,NA
"M69","7/8/10",2010,"Dry","2:00:00",501311,3592162,17,NA
"M69","7/9/10",2010,"Dry","19:27:00",501311,3592162,0,NA
"M69","7/12/10",2010,"Monsoon","21:34:00",501315,3592183,21,NA
"M69","7/15/10",2010,"Monsoon","7:04:00",501154,3591952,282,NA
"M69","7/18/10",2010,"Monsoon","21:06:00",501315,3592158,261,NA
"M69","7/19/10",2010,"Monsoon","0:18:00",501218,3592136,99,NA
"M69","7/20/10",2010,"Monsoon","9:00:00",501082,3592155,137,NA
"M69","7/20/10",2010,"Monsoon","21:40:00",501033,3592000,163,NA
"M69","7/22/10",2010,"Monsoon","23:36:00",501036,3592015,15,NA
"M69","7/23/10",2010,"Monsoon","22:24:00",500999,3591800,218,NA
"M69","7/23/10",2010,"Monsoon","9:41:00",501036,3592015,218,NA
"M69","8/2/10",2010,"Monsoon","21:15:00",501211,3591983,178,NA
"M69","8/2/10",2010,"Monsoon","1:15:00",501213,3591984,2,NA
"M69","8/9/10",2010,"Monsoon","19:15:00",501212,3591986,2,NA
